geoid,os_1990_total,os_1990_cem,os_1990_rec,os_1990_cons,os_1990_priv,os_1990_trail,os_1990_water,os_1990_other,os_2001_total,os_2001_cem,os_2001_rec,os_2001_cons,os_2001_priv,os_2001_trail,os_2001_water,os_2001_other,os_2005_total,os_2005_cem,os_2005_rec,os_2005_cons,os_2005_priv,os_2005_trail,os_2005_water,os_2005_other,os_2010_total,os_2010_cem,os_2010_rec,os_2010_cons,os_2010_priv,os_2010_trail,os_2010_water,os_2010_other,os_2013_total,os_2013_cem,os_2013_rec,os_2013_cons,os_2013_priv,os_2013_trail,os_2013_water,os_2013_other,id
46320,0.00264881,,0.00139813,0.00114023,,,2.439e-05,8.606e-05,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.00185704,,,0.00176976,,,,8.728e-05,0.0040959,,,0.00393753,,,,0.00015837,0.00418437,,,0.00393751,,,0.00022713,1.973e-05,3
60004,1.16434,0.30436834,0.38055411,0.00266497,0.1867322,,0.05468139,0.23534212,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.29837,0.31308109,0.49369409,,0.25016909,0.00748366,0.11646188,0.1174785,1.12168,0.31093468,0.53785655,0.00116144,0.25709028,,0.00985435,0.00478008,1.12513,0.31093486,0.5362951,0.004578,0.25758879,,0.00935589,0.00638024,4
60005,0.563011,,0.20864215,,0.15070849,,0.04823216,0.15542825,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.496111,,0.22360259,,0.14698627,,0.04462064,0.08090193,0.37738,,0.20928091,3.819e-05,0.14949083,,0.00010284,0.01846704,0.379946,,0.21179883,3.819e-05,0.15047969,,,0.01762975,5
60007,2.92372,0.00932369,0.28807245,1.1436257,0.18483848,,0.53131989,0.76653786,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.8662,0.00399444,0.45884272,1.15400995,0.20296716,0.04084658,0.56279536,0.44274147,2.09209,0.00128713,0.37783569,1.40402697,0.18288609,,0.00346274,0.12258905,2.10478,0.00128713,0.37783583,1.40613629,0.18288634,,0.01291094,0.12372027,6
60008,0.349611,,0.13426466,0.00573183,,,0.05934426,0.1502707,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.285366,,0.21776299,0.00565601,,,0.02946199,0.03248517,0.182951,0.000244,0.15695281,0.00072194,2.521e-05,,0.00879292,0.01621439,0.17709,0.000244,0.15695753,0.00072204,2.521e-05,,0.00622781,0.01291386,7
60010,26.3911,0.10893766,0.17127107,12.69820194,1.37723547,,7.09434329,4.94109476,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,29.2236,0.0706534,0.35770202,14.48026276,1.73185296,,6.00801206,6.57507203,18.7583,0.0663409,0.66142877,15.41136862,1.56431075,0.06035354,0.53310108,0.46138806,18.853,0.06633714,0.71399471,15.5036586,1.56556124,0.06035353,0.48276352,0.46029886,8
60015,3.14946,0.01591067,0.13025219,1.05338974,0.90297686,,0.18572216,0.86120908,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.92697,0.00194867,0.21924319,1.26550011,0.74790337,,0.20183366,0.49054545,2.39257,0.00135321,0.24407441,1.30000808,0.71735484,,0.02353697,0.10624476,2.38992,0.00135321,0.24398549,1.30356046,0.71790668,,0.0234225,0.09969439,9
60016,2.4989,0.601096,0.36952485,1.0652729,,,0.28284112,0.18016217,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.44007,0.64054073,0.29817379,0.90588704,0.14151134,0.03029704,0.27828465,0.14537053,2.08922,0.63881539,0.23626386,0.91521313,0.18990175,,0.07322545,0.03579965,2.09408,0.6388122,0.23644069,0.93226469,0.18990173,,0.073989,0.02266749,10
60018,2.26916,,0.18474733,0.72458448,0.03672633,,0.39443549,0.92866199,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,1.6407,,0.20800531,0.73913515,0.04494016,,0.35058944,0.29803199,1.30817,,0.19094187,0.81291292,0.11384466,,0.09659186,0.09388004,1.28891,,0.19165366,0.81455027,0.11384467,,0.10497205,0.06389379,11
60022,2.01798,,0.23075974,0.6161871,0.62967443,,0.50711301,0.03424401,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,2.47536,,0.31766719,0.68169646,0.62745829,,0.84853757,,1.83209,,0.38894712,0.83610631,0.58705846,0.00936537,0.0014457,0.00916935,1.8422,,0.39047286,0.83610745,0.58847152,0.00936011,0.00855438,0.00923183,12
60025,3.09817,0.00569574,0.26332201,1.50623289,0.50034937,,0.2156375,0.60693676,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,3.09553,0.00570438,0.42209994,1.6013402,0.49982604,,0.12131743,0.44524212,2.90126,0.0040749,0.46986422,1.84904428,0.5394496,0.0001118,0.02311628,0.01559998,2.89895,0.00407584,0.47477613,1.85985302,0.53952885,0.0001118,0.01196834,0.00863398,13
60026,0.474032,0.06543577,0.03852817,,0.18968936,,0.07304154,0.10733698,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.890676,0.06782044,0.18507012,0.06855522,0.35030396,,0.1100566,0.1088701,0.648157,0.06488155,0.0796072,0.05185115,0.34490217,,,0.10691467,0.611625,0.06488152,0.08025165,0.05737419,0.34490233,,,0.06421572,14
60029,0.691006,,0.00608698,0.39290342,0.29201561,,,,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.695381,0.00166191,0.01077602,0.39229997,0.29064308,,,,0.684336,0.00156208,0.00486067,0.39125873,0.28565737,,0.00099679,,0.684336,0.00156208,0.00486066,0.3912585,0.28665436,,,,15
60035,5.49076,0.01906522,0.55436081,0.07561908,1.53320787,0.05434381,2.64425314,0.60990959,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,4.81316,0.01657062,0.56291956,0.70987816,1.50092891,0.07192639,1.73184865,0.21908609,2.85424,0.03787761,0.52681578,0.69788635,1.49221307,0.04252989,0.0143012,0.04261806,2.90069,0.03787761,0.52295777,0.73763403,1.4923994,0.06207017,0.02053505,0.02721988,16
60040,0.0163465,,0.00522246,,0.01112409,,,,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.0361193,,0.02667502,0.00082175,0.00862256,,,,0.032161,,0.00807171,0.01141049,0.0087563,,,0.00392253,0.038199,,0.0080717,0.01141051,0.00875653,,,0.00996028,17
60043,0.00607021,,0.00576954,,0.00018807,,0.0001126,,tbi,tbi,tbi,tbi,tbi,tbi,tbi,tbi,0.0159301,,0.01562618,,0.00016083,,0.0001431,,0.0238793,,0.01989015,,,0.00101242,,0.00297672,0.0243103,,0.01989512,,,0.00101241,0.00042606,0.00297675,18
